,name,link,site,zp
41,"Доработка и техническая поддержка существующей системы складского, производственного и финансового учёта ЕМЕ (российская ERP-система). Понимание вопросов ведения управленческого учёта......с пользователями, желание работать в команде. Высшее техническое образование. Знание «1С: Предприятие 8» как программиста и типовых конфигураций приветствуется.",https://hh.ru/search/vacancyhttps://kaliningrad.hh.ru/vacancy/48220922?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru/search/vacancy,от 150 000 руб.
42,"Ведущий программист 1С на проекте по внедрению «1С:ERP Управление предприятием 2». Расширенная настройка и доработка типовой конфигурации...Опыт работы с 1С:ERP, УТ 11. Знание типовой конфигурации «1С:ERP Управление предприятием 2». Умение сотрудничать с...",https://hh.ru/search/vacancyhttps://kaliningrad.hh.ru/vacancy/47796582?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru/search/vacancy,от 180 000 руб.
43,"PHP (уверенное знание одного из фреймворков: Yii2, Laravel, Symfony). — SQL. — Docker, Composer. — Опыт разработки API. — Опыт коммерческой разработки от...",https://hh.ru/search/vacancyhttps://kaliningrad.hh.ru/vacancy/45260240?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru/search/vacancy,85 000 – 120 000 руб.
44,"Сопровождение, обновление 1С, доработки, переносы написанных отчетов из программы 1С Предприятие 8.2 Комплексная автоматизация, редакция 1.1...Хорошее знание продуктов семейства 1С, приветствуется опыт работы с сайтом Честного знака.",https://hh.ru/search/vacancyhttps://kaliningrad.hh.ru/vacancy/48288949?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru/search/vacancy,80 000 – 100 000 руб.
45,"Доработки в конфигурациях на платформе 1С 8.3. Автоматизация бизнес-процессов компании в конфигурациях 1С (создание новых объектов...Знание интеграционных механизмов 1С: конвертация данных и планы обмена, web-сервисы, http-сервисы, OLE, xml, XDTO, OData и т...",https://hh.ru/search/vacancyhttps://kaliningrad.hh.ru/vacancy/44221150?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru/search/vacancy,180 000 – 200 000 руб.
46,"Поддержка текущего проекта. Разработка нового функционала. Работа с базами данных. Поддержка и развитие сайта. - разработка приложений для ТСД на Windos...Знание Delphi7 (DevExpress, qreport, MyDAC) Mysql, C#. -Дополнительно приветствуется: - знание языка в 1с. Знание Framework Django, Python, Vue...",https://hh.ru/search/vacancyhttps://kaliningrad.hh.ru/vacancy/48036113?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru/search/vacancy,от 100 000 руб.
47,"Разработка системного и прикладного ПО. Настройка и тестирование опытных образцов. Участие в пусконаладочных работах.Опыт программирования на языке С; Большим плюсом будет: Знание принципов организации и реализации современных интерфейсов и протоколов, используемых для периферийных...",https://hh.ru/search/vacancyhttps://kaliningrad.hh.ru/vacancy/48286927?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru/search/vacancy,от 80 000 руб.
48,"Возможно удаленно в Москве, с периодическими совещаниями очно.PHP 5.4+ (обязательно знание таких слов, как namespace, OOP, closure, traits, parent/self). - MySQL 5.5 (не должны...",https://hh.ru/search/vacancyhttps://kaliningrad.hh.ru/vacancy/48323993?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru/search/vacancy,130 000 – 135 000 руб.
49,Участие в проектах автоматизации в качестве разработчика и технического эксперта. Формализация требований Заказчиков и оценка трудоемкости работ. Разработка решений по...Опыт работы с системами 1С:Предприятие 8 от 3-х лет в качестве программиста. Отличное знание платформы и механизмов...,https://hh.ru/search/vacancyhttps://kaliningrad.hh.ru/vacancy/47181782?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru/search/vacancy,150 000 – 165 000 руб.
50,"Написание онлайн-сервисов по проведению торгов на биржах и управления капиталом. ⁃ Написание нейросетевых архитектур под наши задачи. ⁃ Написание твердых разработок...Основная задача - сделать финансовые операции неотъемлемой частью вашей жизни. ⁃ Продумывать легко-изменяемую, гибкую, отказоустойчивую архитектуру. ⁃ Опыт разработки на GoLang 2...",https://hh.ru/search/vacancyhttps://kaliningrad.hh.ru/vacancy/47993596?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru/search/vacancy,150 000 – 400 000 руб.
51,"Верстка адаптивных макетов с использованием bootstrap 3/4. Верстка адаптивных макетов на CMS — Joomla, Opencart, Bitrix. Разработка и доработка проектов...Знание HTML/CSS/JS/jQuery. Опыт работы с системами контроля версий (git, SVN). Хорошее знание MySQL, понимание принципов оптимизации запросов...",https://hh.ru/search/vacancyhttps://kaliningrad.hh.ru/vacancy/48072671?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru/search/vacancy,50 000 – 100 000 руб.
52,"Фундаментальные, поисковые и прикладные научные исследования и разработки в области нанотехнологий, информационных и телекоммуникационных технологий, вычислительных систем, математики, физики и...Linux graphics stack. Английский язык технический. Очное (онлайн) собеседование.",https://hh.ru/search/vacancyhttps://kaliningrad.hh.ru/vacancy/48109526?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru/search/vacancy,до 130 000 руб.
53,"В обязанности входит модификация базовой версии продукта в соответствии с требованиями заказчиков, а именно: Доработка интерфейсной части и отчетных форм. Опыт работы с реляционными БД, понимание принципов их работы и умение оптимизировать логику обработки данных. Навыки ООП.",https://hh.ru/search/vacancyhttps://kaliningrad.hh.ru/vacancy/41097389?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru/search/vacancy,50 000 – 120 000 руб.
54,"Поддержка и развитие серверной части интернет-магазина (написан на Perl, используется, MySQL, JavaScript, Apache, Nginx).Опыт работы с MySQL, HTML, HTTP, CGI, JavaScript, Apache, Nginx. Знания в области CSS, SVN, Linux, SSH. Опыт разработки от...",https://hh.ru/search/vacancyhttps://kaliningrad.hh.ru/vacancy/47528666?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,https://hh.ru/search/vacancy,от 100 000 руб.
